"year","cbsa","mdiv","stcou","name","lsad","births","deaths","domesticmig","internationalmig","naturalinc","netmig","npopchg_","popestimate","residual"
2001," ",NA,NA,"","",3,3,3,3,3,3,3,3,3
2001," ",NA,NA,"Micropolitan Statistical Area","",1,1,1,1,1,1,1,1,1
2001,"10020",NA,22113,"Vermilion Parish, LA","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10020",NA,NA,"Abbeville, LA","Micropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10100",NA,46013,"Brown County, SD","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10100",NA,46045,"Edmunds County, SD","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10100",NA,NA,"Aberdeen, SD","Micropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10140",NA,53027,"Grays Harbor County, WA","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10140",NA,NA,"Aberdeen, WA","Micropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10180",NA,48059,"Callahan County, TX","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10180",NA,48253,"Jones County, TX","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10180",NA,48441,"Taylor County, TX","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10220",NA,40123,"Pontotoc County, OK","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10220",NA,NA,"Ada, OK","Micropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10300",NA,26091,"Lenawee County, MI","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10300",NA,NA,"Adrian, MI","Micropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10420",NA,39133,"Portage County, OH","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10420",NA,39153,"Summit County, OH","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10420",NA,NA,"Akron, OH","Metropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10460",NA,35035,"Otero County, NM","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10460",NA,NA,"Alamogordo, NM","Micropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10500",NA,13007,"Baker County, GA","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10500",NA,13095,"Dougherty County, GA","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10500",NA,13177,"Lee County, GA","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10500",NA,13273,"Terrell County, GA","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10500",NA,13321,"Worth County, GA","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10500",NA,NA,"Albany, GA","Metropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10540",NA,41043,"Linn County, OR","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10540",NA,NA,"Albany-Lebanon, OR","Micropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10580",NA,36001,"Albany County, NY","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10580",NA,36083,"Rensselaer County, NY","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10580",NA,36091,"Saratoga County, NY","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10580",NA,36093,"Schenectady County, NY","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10580",NA,36095,"Schoharie County, NY","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10580",NA,NA,"Albany-Schenectady-Troy, NY","Metropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10620",NA,37167,"Stanly County, NC","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10620",NA,NA,"Albemarle, NC","Micropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10660",NA,27047,"Freeborn County, MN","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10660",NA,NA,"Albert Lea, MN","Micropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10700",NA,1095,"Marshall County, AL","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10700",NA,NA,"Albertville, AL","Micropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10740",NA,35001,"Bernalillo County, NM","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10740",NA,35043,"Sandoval County, NM","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10740",NA,35057,"Torrance County, NM","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10740",NA,35061,"Valencia County, NM","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10740",NA,NA,"Albuquerque, NM","Metropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10760",NA,1037,"Coosa County, AL","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10760",NA,1123,"Tallapoosa County, AL","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10760",NA,NA,"Alexander City, AL","Micropolitan Statistical Area",1,1,1,1,1,1,1,1,1
2001,"10780",NA,22043,"Grant Parish, LA","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10780",NA,22079,"Rapides Parish, LA","County or equivalent",1,1,1,1,1,1,1,1,1
2001,"10780",NA,NA,"Alexandria, LA","Metropolitan Statistical Area",1,1,1,1,1,1,1,1,1
